area,curConfirm,confirmedRelative,confirmed,crued,died
area,curConfirm,confirmedRelative,confirmed,crued,died
西藏,0,0,1,1,0
澳门,0,0,82,82,0
青海,11,0,43,32,0
台湾,13444,1204,28040,13742,854
香港,240897,419,308594,58870,8827
贵州,5,0,178,171,2
吉林,13817,187,37897,24075,5
新疆,0,0,999,996,3
宁夏,0,0,122,122,0
内蒙古,9,1,1688,1678,1
甘肃,3,0,681,676,2
天津,18,0,1798,1777,3
山西,47,1,351,304,0
辽宁,79,1,1605,1524,2
黑龙江,139,0,2505,2353,13
海南,52,2,245,187,6
河北,87,0,1981,1887,7
陕西,40,7,3254,3211,3
云南,29,2,2081,2050,2
广西,74,4,1522,1446,2
福建,301,9,2914,2612,1
上海,6362,917,12283,5914,7
北京,70,4,1825,1746,9
江苏,100,10,2093,1993,0
四川,114,10,1958,1841,3
山东,242,2,2648,2399,7
江西,20,2,1065,1044,1
重庆,5,0,693,682,6
安徽,27,1,1055,1022,6
湖南,20,0,1335,1311,4
河南,24,1,2841,2795,22
广东,177,36,6717,6532,8
浙江,553,15,2833,2279,1
湖北,3,0,68392,63877,4512
area,curConfirm,confirmedRelative,confirmed,crued,died
西藏,0,0,1,1,0
澳门,0,0,82,82,0
青海,11,0,43,32,0
台湾,13444,1204,28040,13742,854
香港,240897,419,308594,58870,8827
贵州,5,0,178,171,2
吉林,13817,187,37897,24075,5
新疆,0,0,999,996,3
宁夏,0,0,122,122,0
内蒙古,9,1,1688,1678,1
甘肃,3,0,681,676,2
天津,18,0,1798,1777,3
山西,47,1,351,304,0
辽宁,79,1,1605,1524,2
黑龙江,139,0,2505,2353,13
海南,52,2,245,187,6
河北,87,0,1981,1887,7
陕西,40,7,3254,3211,3
云南,29,2,2081,2050,2
广西,74,4,1522,1446,2
福建,301,9,2914,2612,1
上海,6362,917,12283,5914,7
北京,70,4,1825,1746,9
江苏,100,10,2093,1993,0
四川,114,10,1958,1841,3
山东,242,2,2648,2399,7
江西,20,2,1065,1044,1
重庆,5,0,693,682,6
安徽,27,1,1055,1022,6
湖南,20,0,1335,1311,4
河南,24,1,2841,2795,22
广东,177,36,6717,6532,8
浙江,553,15,2833,2279,1
湖北,3,0,68392,63877,4512
